handle,text,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10
Southwest,@SouthwestAir I ❤️ you! The only airline that understands us military families and our unpredictable changes. Pound it 👊,3,3,1,1,2,1,1,2,1,1
Delta,@JetBlue Is there an issue with your website and logging on? (App too?) I know I am entering info correctly but cannot sign in! :(,2,2,2,0,1,1,2,2,1,0
United,@united I usually like flying with you guys but $200 fee to use my credit seems ridiculous #notcool #exhorbitantfees,1,2,1,1,0,2,1,1,2,1
United,@united thank you!,3,3,3,1,0,2,1,0,2,2
Southwest,"@SouthwestAir briughy me to @ComClassic, #AIF2015 &amp; so much more with the #agcommunity",2,0,3,3,0,2,1,1,0,1
Delta,@JetBlue thanks to O StBernard for taking time to read through page to find info as supervisor felt to insist tho I showed previous comm,1,0,0,3,3,2,1,0,0,0
United,@united Educate Bohol is a 501(c)(3) w/all volunteer staff. I can help the kids or buy a plane ticket ...I can't do both. Can you help?,2,0,1,2,3,3,1,2,2,0
United,@united you know it's bad when you're praying your connecting flight is delayed because of an hour delay on the first flight #JustGetMeHome,2,3,0,0,3,1,1,1,3,0
US Airways,@USAirways &amp; @AmericanAir what are your weight restrictions for carry on luggage? Can find measurements but not weight restrictions. TIA,2,1,0,1,1,2,2,3,1,0
United,@united he is so excellent and so reliable :) #happycustomer,1,2,1,1,1,0,2,1,1,3
American,"@AmericanAir Will it be this year, do you think?",1,0,3,0,1,1,2,2,1,2
US Airways,@USAirways thanks! Any idea when it will be resolved? I'd like to purchase my ticket!,2,0,1,0,2,2,3,0,2,2
Delta,@JetBlue flight for tomorrow morning Cancelled Flighted &amp; can't seem to rebook me. They can't even get me a seat. No clear answer on why Cancelled Flighted.,0,2,0,1,2,1,2,0,0,0
US Airways,@USAirways @PHLAirport always nice when a customer service manager threatens customers standing in his understaffed lines for the last hour,0,1,2,2,3,2,1,0,3,2
US Airways,@USAirways just hung up on me again.  Another waste of an hour of my time.  How am I supposed to book a one way award flight?  #badwebsite,2,0,3,2,2,1,1,2,3,0
American,"@AmericanAir Right. But more than two hours Late Flight, and it seems due to poor communication, which sounded like it was annoying on-plane staff",0,2,3,2,1,1,0,2,2,3
Southwest,@SouthwestAir Southwest is definitely my favorite airline to fly! :D,0,0,3,0,3,1,0,2,2,2
United,@united ...she could not access seat map so she said she would note the upgrade in my itinerary and to call back Late Flightr...,0,3,2,1,2,2,0,1,0,1
American,"@AmericanAir checked in at Des Moines, lay over in ORD, final destination Austin, Texas.  Baggage was only checked to ORD.",0,2,3,0,2,3,1,3,1,0
Southwest,@SouthwestAir my sister&amp;brother in law need to get to Florida desperately flying w/ @USAirways is there anything you can do?,3,0,0,0,3,1,2,1,2,2
United,"@united In ORD, waited 20 min after crew members left before gate items came. Flight attendant sarcastically said good luck and walked away.",1,3,1,0,2,1,3,0,3,1
Southwest,@SouthwestAir On hold for 45 minutes trying to rebook a Cancelled Flightled flight with a companion ticket. Help?,1,3,2,2,3,2,1,2,1,3
Delta,@JetBlue of course !!!!,0,3,0,0,3,1,1,0,3,3
United,@united his cell phone record needs to be checked to see who did conversed with. I trust the FAA can handle this better.,0,1,2,2,3,3,1,2,2,1
